Line	Book	Chapter	Verse
649	Mat	20	1
650	Mat	20	2
651	Mat	20	3
652	Mat	20	4
653	Mat	20	5
654	Mat	20	6
655	Mat	20	7
656	Mat	20	8
657	Mat	20	9
658	Mat	20	10
659	Mat	20	11
660	Mat	20	12
661	Mat	20	13
662	Mat	20	14
663	Mat	20	15
664	Mat	20	16
665	Mat	20	17
666	Mat	20	18
667	Mat	20	19
668	Mat	20	20
669	Mat	20	21
670	Mat	20	22
671	Mat	20	23
672	Mat	20	24
673	Mat	20	25
674	Mat	20	26
675	Mat	20	27
676	Mat	20	28
677	Mat	20	29
678	Mat	20	30
679	Mat	20	31
680	Mat	20	32
681	Mat	20	33
682	Mat	20	34
683	Mat	21	1
684	Mat	21	2
685	Mat	21	3
686	Mat	21	4
687	Mat	21	5
688	Mat	21	6
689	Mat	21	7
690	Mat	21	8
691	Mat	21	9
692	Mat	21	10
693	Mat	21	11
694	Mat	21	12
695	Mat	21	13
696	Mat	21	14
697	Mat	21	15
698	Mat	21	16
699	Mat	21	17
700	Mat	21	18
701	Mat	21	19
702	Mat	21	20
703	Mat	21	21
704	Mat	21	22
705	Mat	21	23
706	Mat	21	24
707	Mat	21	25
708	Mat	21	26
709	Mat	21	27
710	Mat	21	28
711	Mat	21	29
712	Mat	21	30
713	Mat	21	31
714	Mat	21	32
715	Mat	21	33
716	Mat	21	34
717	Mat	21	35
718	Mat	21	36
719	Mat	21	37
720	Mat	21	38
721	Mat	21	39
722	Mat	21	40
723	Mat	21	41
724	Mat	21	42
725	Mat	21	43
726	Mat	21	44
727	Mat	21	45
728	Mat	21	46
729	Mat	22	1
730	Mat	22	2
731	Mat	22	3
732	Mat	22	4
733	Mat	22	5
734	Mat	22	6
735	Mat	22	7
736	Mat	22	8
737	Mat	22	9
738	Mat	22	10
739	Mat	22	11
740	Mat	22	12
741	Mat	22	13
742	Mat	22	14
743	Mat	22	15
744	Mat	22	16
745	Mat	22	17
746	Mat	22	18
747	Mat	22	19
748	Mat	22	20
749	Mat	22	21
750	Mat	22	22
751	Mat	22	23
752	Mat	22	24
753	Mat	22	25
754	Mat	22	26
755	Mat	22	27
756	Mat	22	28
757	Mat	22	29
758	Mat	22	30
759	Mat	22	31
760	Mat	22	32
761	Mat	22	33
762	Mat	22	34
763	Mat	22	35
764	Mat	22	36
765	Mat	22	37
766	Mat	22	38
767	Mat	22	39
768	Mat	22	40
769	Mat	22	41
770	Mat	22	42
771	Mat	22	43
772	Mat	22	44
773	Mat	22	45
774	Mat	22	46
775	Mat	23	1
776	Mat	23	2
777	Mat	23	3
778	Mat	23	4
779	Mat	23	5
780	Mat	23	6
781	Mat	23	7
782	Mat	23	8
783	Mat	23	9
784	Mat	23	10
785	Mat	23	11
786	Mat	23	12
787	Mat	23	13
788	Mat	23	14
789	Mat	23	15
790	Mat	23	16
791	Mat	23	17
792	Mat	23	18
793	Mat	23	19
794	Mat	23	20
795	Mat	23	21
796	Mat	23	22
797	Mat	23	23
798	Mat	23	24
799	Mat	23	25
800	Mat	23	26
801	Mat	23	27
802	Mat	23	28
803	Mat	23	29
804	Mat	23	30
805	Mat	23	31
806	Mat	23	32
807	Mat	23	33
808	Mat	23	34
809	Mat	23	35
